YEAR,MONTH,MMNT,MMXT,MNTM
2011,7,175.8998,308.0888,242.0146
2011,8,163.4090,301.4221,232.3973
2011,9,116.5039,251.1641,183.8170
2011,10,55.8445,189.1984,122.5385
2011,11,4.1314,124.5389,64.3408
2011,12,-33.8277,74.7642,20.4482
2012,1,-43.0938,77.7127,17.3078
2012,2,-30.4886,83.4101,26.4233
2012,3,31.6034,164.6548,98.1408
2012,4,49.0114,186.7180,117.8553
2012,5,102.2851,240.5963,171.4470
2012,6,136.8011,279.6265,208.2011
2012,7,176.7521,314.5608,245.6615
2012,8,155.0176,295.8871,225.4664
2012,9,111.2372,255.0149,183.0901
2012,10,54.8074,182.6056,118.7104
2012,11,-1.6919,123.2367,60.7906
2012,12,-28.6140,73.2276,22.3071
2013,1,-57.7176,54.0359,-1.8217
2013,2,-50.4410,62.4958,6.0493
2013,3,-21.4154,99.9162,39.2655
2013,4,29.2783,159.1048,94.1714
2013,5,89.1571,221.7836,155.5264
2013,6,142.3154,272.5165,207.4185
2013,7,166.9468,292.9693,229.9508
2013,8,156.7677,285.3847,221.0819
2013,9,122.9792,253.0747,188.0254
2013,10,54.5194,180.2529,117.4116
2013,11,-7.4348,108.7110,50.6425
2013,12,-60.7583,49.5489,-5.5929
2014,1,-81.3381,44.3538,-18.4991
2014,2,-66.0717,51.0800,-7.4825
2014,3,-28.9884,103.0409,37.0868
2014,4,34.9360,171.2346,103.1053
2014,5,94.3956,226.2208,160.2851
2014,6,144.9998,267.8880,206.4513
2014,7,161.6888,287.3953,224.5626
2014,8,159.7088,279.7091,219.7012
2014,9,122.6619,249.4327,186.0375
2014,10,67.4952,197.3200,132.4429
2014,11,-20.0006,96.1220,38.0879
2014,12,-20.6068,68.7011,24.0578
2015,1,-56.1442,54.5509,-0.8063
2015,2,-72.0265,51.1484,-10.3904
2015,3,-3.0567,129.9505,63.5082
2015,4,45.4485,179.4914,112.4513
2015,5,96.4418,223.0966,159.7658
2015,6,148.6791,276.8101,212.7108
2015,7,163.8851,289.8696,226.8801
2015,8,154.2598,288.1943,221.2210
2015,9,131.6937,265.2649,198.4695
2015,10,71.2780,197.3798,134.3067
2015,11,14.1514,128.6922,71.4167
2015,12,-7.7815,90.2654,41.2419
